ciudad; latitud; longitud
Lima;-12.05;-77.0333
Callao;-12.0611;-77.1333
Arequipa;-16.3988;-71.5369
Trujillo;-8.1119;-79.0289
Chiclayo;-6.763;-79.8366
Chimbote;-9.0745;-78.5936
Piura;-5.2008;-80.6253
Cusco;-13.5183;-71.9781
Huancayo;-12.0667;-75.2167
Iquitos;-3.7333;-73.25
Pucallpa;-8.3833;-74.55
Juliaca;-15.4908;-70.1269
Tacna;-18.0556;-70.2483
Ica;-14.0667;-75.7333
Cajamarca;-7.1644;-78.5106
Huacho;-11.1083;-77.6083
Huánuco;-9.9294;-76.2397
Ayacucho;-13.1631;-74.2244
Puno;-15.8433;-70.0236
Huaraz;-9.5333;-77.5333
Tumbes;-3.5667;-80.45
Puerto Maldonado;-12.6;-69.1833
Abancay;-13.6333;-72.8833
Moquegua;-17.2;-70.9333
Cerro de Pasco;-10.6864;-76.2625
Moyobamba;-6.0333;-76.9667
Huancavelica;-12.785;-74.9714
Chachapoyas;-6.2167;-77.85
Contamana;-7.3333;-75.0167
